City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
634,Atbasar,KZ,66.04,broken clouds,51.8,68.3333,Гостиничный Комплекс Saad
636,San Juan,AR,60.66,clear sky,-31.5375,-68.5364,Hotel Provincial
638,Lata,PT,67.82,clear sky,40.1629,-8.3327,Casa Maquia
640,Ustka,PL,59.65,scattered clouds,54.5805,16.8619,Hotel Royal Baltic Luxury Boutique
641,Mbeya,TZ,50.11,few clouds,-8.9,33.45,Leda Lodge
642,Piacabucu,BR,74.55,clear sky,-10.4056,-36.4344,Piaçabuçu News
643,Rovaniemi,FI,63.81,clear sky,66.5,25.7167,Arctic City Hotel
645,Blagoyevo,RU,63.12,few clouds,63.3667,47.9167,
646,Shkotovo,RU,63.68,broken clouds,43.3319,132.3625,Fazenda
648,Psebay,RU,67.41,overcast clouds,44.1234,40.8107,Lis'ya Nora
649,Andahuaylas,PE,65.43,broken clouds,-13.6556,-73.3872,La Mansion Casa Hotel
654,Kannad,IN,70.36,light rain,20.2667,75.1333,नंदु टि हाऊस
657,Cairns,AU,62.55,clear sky,-16.9167,145.7667,Mantra Trilogy Cairns
662,Ulaangom,MN,62.19,few clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
663,Grand Gaube,MU,70.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
665,Penzance,GB,68.68,clear sky,50.1186,-5.5371,Artist Residence Penzance
667,Ilhabela,BR,71.4,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
668,Waingapu,ID,74.82,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
