City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
293,Poum,-20.2333,164.0167,77.32,84,0,12.8,clear sky
294,Benalla,-36.55,145.9833,50.86,73,8,11.7,clear sky
295,Bethel,41.3712,-73.414,65.64,92,77,1.39,broken clouds
296,Matara,5.9485,80.5353,86.7,65,99,17.52,overcast clouds
297,Lisakovsk,52.5369,62.4936,73.99,59,73,12.21,light rain
298,Konde,-4.95,39.75,78.84,64,20,12.12,light rain
299,Joshimath,30.5667,79.5667,82.13,75,80,7.05,broken clouds
300,Canico,32.6333,-16.85,68.72,77,20,0.0,few clouds
301,Dondo,-19.6094,34.7431,67.51,75,1,3.69,clear sky
302,Mayumba,-3.432,10.6554,71.74,87,100,5.66,overcast clouds
303,Chas,23.6333,86.1667,95.13,46,66,12.86,broken clouds
304,Veraval,20.9,70.3667,82.67,83,100,20.78,overcast clouds
305,Aktash,50.3,87.7333,48.13,79,100,0.69,overcast clouds
306,North Bend,43.4065,-124.2243,58.86,97,0,4.61,clear sky
307,Prince Rupert,54.3161,-130.3201,56.89,86,100,5.75,overcast clouds
308,Godda,24.8333,87.2167,98.65,42,74,11.52,broken clouds
309,Los Llanos De Aridane,28.6585,-17.9182,64.15,89,40,13.8,scattered clouds
310,Port Hedland,-20.3167,118.5667,82.45,9,0,11.5,clear sky
311,Broken Hill,-31.95,141.4333,52.02,51,92,11.9,overcast clouds
312,Rio Verde De Mato Grosso,-18.9181,-54.8442,66.74,35,34,3.98,scattered clouds
313,Telimele,10.9167,-13.3333,69.67,99,100,1.66,overcast clouds
314,Asfi,32.2994,-9.2372,73.53,69,1,14.38,clear sky
315,Amposta,40.7131,0.581,74.3,51,0,10.02,clear sky
316,Mocuba,-16.8392,36.9856,71.46,71,20,3.69,few clouds
317,Luwuk,-0.9516,122.7875,81.46,81,95,4.76,overcast clouds
318,San Lawrenz,36.0553,14.204,81.81,87,0,3.0,clear sky
319,Buraydah,26.326,43.975,93.65,10,86,8.05,overcast clouds
320,Dedza,-14.3779,34.3332,58.96,63,16,7.58,few clouds
321,Hamilton,39.1834,-84.5333,76.23,88,100,2.51,overcast clouds
322,Saint-Nazaire,47.2833,-2.2,64.67,75,0,11.5,clear sky
323,Mormugao,15.4,73.8,78.06,94,100,11.5,overcast clouds
324,San-Pedro,4.7485,-6.6363,75.02,89,100,5.39,light rain
325,Wewak,-3.5534,143.6268,81.39,83,100,6.4,overcast clouds
326,Lavrentiya,65.5833,-171.0,46.65,87,99,3.27,overcast clouds
327,Acapulco,16.8634,-99.8901,79.07,85,100,4.97,overcast clouds
328,Moose Factory,51.2585,-80.6094,42.8,93,0,5.75,clear sky
329,Casa Nova,-9.4167,-41.1333,69.17,73,34,18.97,scattered clouds
330,Cap Malheureux,-19.9842,57.6142,75.47,59,0,8.01,clear sky
331,Ilanskiy,56.2358,96.065,72.59,47,8,7.34,clear sky
